product_name,price,discount,date
boAt Rockerz 255,1049,74,2024-12-20
boAt Rockerz 255,1049,74,2024-12-21
boAt Rockerz 255,1049,74,2024-12-22
boAt Rockerz 255,1049,74,2024-12-23
boAt Rockerz 255,999,75,2024-12-24
boAt Rockerz 255,999,75,2024-12-25
boAt Rockerz 255,999,75,2024-12-26
boAt Rockerz 255,999,75,2024-12-27
boAt Rockerz 255,999,75,2024-12-28
boAt Rockerz 255,999,75,2024-12-29
boAt Rockerz 255,1099,72,2024-12-30
boAt Rockerz 255,899,77,2024-12-31
boAt Rockerz 255,1049,74,2025-01-01
boAt Rockerz 255,999,75,2025-01-02
boAt Rockerz 255,999,75,2025-01-03
boAt Rockerz 255,999,75,2025-01-04
boAt Rockerz 255,999,75,2025-01-05
boAt Rockerz 255,999,75,2025-01-06
boAt Rockerz 255,999,75,2025-01-07
boAt Rockerz 255,999,75,2025-01-08
boAt Rockerz 255,999,75,2025-01-09
boAt Rockerz 255,999,75,2025-01-10
boAt Rockerz 255,999,75,2025-01-11
boAt Rockerz 255,998,75,2025-01-12
boAt Rockerz 255,998,75,2025-01-13
boAt Rockerz 255,998,75,2025-01-14
boAt Rockerz 255,998,75,2025-01-15
boAt Rockerz 255,998,75,2025-01-16
boAt Rockerz 255,998,75,2025-01-17
boAt Rockerz 255,998,75,2025-01-18
boAt Rockerz 255,998,75,2025-01-19
boAt Rockerz 255,998,75,2025-01-20
boAt Rockerz 255,998,75,2025-01-21
boAt Rockerz 255,998,75,2025-01-22
boAt Rockerz 255,998,75,2025-01-23
boAt Rockerz 255,998,75,2025-01-24
boAt Rockerz 255,998,75,2025-01-25
boAt Rockerz 255,998,75,2025-01-26
boAt Rockerz 255,998,75,2025-01-27
boAt Rockerz 255,998,75,2025-01-28
boAt Rockerz 255,998,75,2025-01-29
boAt Rockerz 255,998,75,2025-01-30
boAt Rockerz 255,998,75,2025-01-31
boAt Rockerz 255,998,75,2025-02-01
boAt Rockerz 255,998,75,2025-02-02
boAt Rockerz 255,998,75,2025-02-03
boAt Rockerz 255,998,75,2025-02-04
boAt Rockerz 255,998,75,2025-02-05
boAt Rockerz 255,998,75,2025-02-06
boAt Rockerz 255,998,75,2025-02-07
boAt Rockerz 255,998,75,2025-02-08
boAt Rockerz 255,998,75,2025-02-09
